role,permission(action),description
Application Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/jobs/manage,"Start, restart, and pause application provisioning synchronization jobs."
Application Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/schema/manage,"Create and manage application provisioning synchronization jobs and schema."
Application Administrator,microsoft.directory/servicePrincipals/synchronization/standard/read,"Read provisioning settings associated with your service principal"
Application Administrator,microsoft.directory/servicePrincipals/synchronizationCredentials/manage,"Manage application provisioning secrets and credentials"
Application Administrator,microsoft.directory/servicePrincipals/synchronizationJobs/manage,"Start, restart, and pause application provisioning synchronization jobs"
Application Administrator,microsoft.directory/servicePrincipals/synchronizationSchema/manage,"Create and manage application provisioning synchronization jobs and schema"
Application Administrator,microsoft.directory/servicePrincipals/tag/update,"Update the tag property for service principals"
Application Administrator,microsoft.directory/signInReports/allProperties/read,"Read all properties on sign-in reports, including privileged properties"
Application Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Application Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Application Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Application Developer,microsoft.directory/applications/createAsOwner,"Create all types of applications, and creator is added as the first owner"
Application Developer,microsoft.directory/oAuth2PermissionGrants/createAsOwner,"Create OAuth 2.0 permission grants, with creator as the first owner"
Application Developer,microsoft.directory/servicePrincipals/createAsOwner,"Create service principals, with creator as the first owner"
Attack Payload Author,microsoft.office365.protectionCenter/attackSimulator/payload/allProperties/allTasks,"Create and manage attack payloads in Attack Simulator"
Attack Payload Author,microsoft.office365.protectionCenter/attackSimulator/reports/allProperties/read,"Read reports of attack simulation, responses, and associated training"
Attack Simulation Administrator,microsoft.office365.protectionCenter/attackSimulator/payload/allProperties/allTasks,"Create and manage attack payloads in Attack Simulator"
Attack Simulation Administrator,microsoft.office365.protectionCenter/attackSimulator/reports/allProperties/read,"Read reports of attack simulation, responses, and associated training"
