role,permission(action),description
Directory Readers,microsoft.directory/users/photo/read,"Read photo of users"
Directory Readers,microsoft.directory/users/registeredDevices/read,"Read registered devices of users"
Directory Readers,microsoft.directory/users/scopedRoleMemberOf/read,"Read user's membership of a Microsoft Entra role, that is scoped to an administrative unit"
Directory Readers,microsoft.directory/users/sponsors/read,"Read sponsors of users"
Directory Readers,microsoft.directory/users/standard/read,"Read basic properties on users"
Directory Synchronization Accounts,microsoft.directory/onPremisesSynchronization/standard/read,"Read standard on-premises directory synchronization information"
Directory Writers,microsoft.directory/applications/extensionProperties/update,"Update extension properties on applications"
Directory Writers,microsoft.directory/contacts/create,"Create contacts"
Directory Writers,microsoft.directory/groups/assignedLabels/update,"Update the assigned labels property on groups of assigned membership type, excluding role-assignable groups"
Directory Writers,microsoft.directory/groups/assignLicense,"Assign product licenses to groups for group-based licensing"
Directory Writers,microsoft.directory/groups/basic/update,"Update basic properties on Security groups and Microsoft 365 groups, excluding role-assignable groups"
Directory Writers,microsoft.directory/groups/classification/update,"Update the classification property on Security groups and Microsoft 365 groups, excluding role-assignable groups"
Directory Writers,microsoft.directory/groups/create,"Create Security groups and Microsoft 365 groups, excluding role-assignable groups"
Directory Writers,microsoft.directory/groups/dynamicMembershipRule/update,"Update the dynamic membership rule on Security groups and Microsoft 365 groups, excluding role-assignable groups"
Directory Writers,microsoft.directory/groups/groupType/update,"Update properties that would affect the group type of Security groups and Microsoft 365 groups, excluding role-assignable groups"
Directory Writers,microsoft.directory/groups/members/update,"Update members of Security groups and Microsoft 365 groups, excluding role-assignable groups"
Directory Writers,microsoft.directory/groups/onPremWriteBack/update,"Update Microsoft Entra groups to be written back to on-premises with Microsoft Entra Connect"
Directory Writers,microsoft.directory/groups/owners/update,"Update owners of Security groups and Microsoft 365 groups, excluding role-assignable groups"
Directory Writers,microsoft.directory/groups/reprocessLicenseAssignment,"Reprocess license assignments for group-based licensing"
Directory Writers,microsoft.directory/groups/settings/update,"Update settings of groups"
Directory Writers,microsoft.directory/groups/visibility/update,"Update the visibility property of Security groups and Microsoft 365 groups, excluding role-assignable groups"
Directory Writers,microsoft.directory/groupSettings/basic/update,"Update basic properties on group settings"
Directory Writers,microsoft.directory/groupSettings/create,"Create group settings"
Directory Writers,microsoft.directory/groupSettings/delete,"Delete group settings"
Directory Writers,microsoft.directory/oAuth2PermissionGrants/basic/update,"Update OAuth 2.0 permission grants"
Directory Writers,microsoft.directory/oAuth2PermissionGrants/create,"Create OAuth 2.0 permission grants"
Directory Writers,microsoft.directory/servicePrincipals/appRoleAssignedTo/update,"Update service principal role assignments"
Directory Writers,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/credentials/manage,"Manage cloud tenant to cloud tenant application provisioning secrets and credentials."
Directory Writers,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/jobs/manage,"Start, restart, and pause cloud tenant to cloud tenant application provisioning synchronization jobs."
Directory Writers,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/schema/manage,"Create and manage cloud tenant to cloud tenant application provisioning synchronization jobs and schema."
Directory Writers,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage,"Manage application provisioning secrets and credentials."
Directory Writers,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/jobs/manage,"Start, restart, and pause application provisioning synchronization jobs."
Directory Writers,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/schema/manage,"Create and manage application provisioning synchronization jobs and schema."
Directory Writers,microsoft.directory/servicePrincipals/synchronizationCredentials/manage,"Manage application provisioning secrets and credentials"
Directory Writers,microsoft.directory/servicePrincipals/synchronizationJobs/manage,"Start, restart, and pause application provisioning synchronization jobs"
Directory Writers,microsoft.directory/servicePrincipals/synchronizationSchema/manage,"Create and manage application provisioning synchronization jobs and schema"
Directory Writers,microsoft.directory/users/assignLicense,"Manage user licenses"
Directory Writers,microsoft.directory/users/basic/update,"Update basic properties on users"
Directory Writers,microsoft.directory/users/create,"Add users"
Directory Writers,microsoft.directory/users/disable,"Disable users"
Directory Writers,microsoft.directory/users/enable,"Enable users"
Directory Writers,microsoft.directory/users/invalidateAllRefreshTokens,"Force sign-out by invalidating user refresh tokens"
Directory Writers,microsoft.directory/users/inviteGuest,"Invite guest users"
Directory Writers,microsoft.directory/users/manager/update,"Update manager for users"
Directory Writers,microsoft.directory/users/photo/update,"Update photo of users"
Directory Writers,microsoft.directory/users/reprocessLicenseAssignment,"Reprocess license assignments for users"
Directory Writers,microsoft.directory/users/sponsors/update,"Update sponsors of users"
Directory Writers,microsoft.directory/users/userPrincipalName/update,"Update User Principal Name of users"
Domain Name Administrator,microsoft.directory/domains/allProperties/allTasks,"Create and delete domains, and read and update all properties"
Domain Name Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Domain Name Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Dynamics 365 Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Dynamics 365 Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Dynamics 365 Administrator,microsoft.dynamics365/allEntities/allTasks,"Manage all aspects of Dynamics 365"
Dynamics 365 Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Dynamics 365 Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Dynamics 365 Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Dynamics 365 Business Central Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Dynamics 365 Business Central Administrator,microsoft.directory/domains/standard/read,"Read basic properties on domains"
Dynamics 365 Business Central Administrator,microsoft.directory/organization/standard/read,"Read basic properties on an organization"
Dynamics 365 Business Central Administrator,microsoft.directory/subscribedSkus/standard/read,"Read basic properties on subscriptions"
Dynamics 365 Business Central Administrator,microsoft.directory/users/standard/read,"Read basic properties on users"
Dynamics 365 Business Central Administrator,microsoft.dynamics365.businessCentral/allEntities/allProperties/allTasks,"Manage all aspects of Dynamics 365 Business Central"
Dynamics 365 Business Central Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Dynamics 365 Business Central Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Edge Administrator,microsoft.edge/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft Edge"
Edge Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Edge Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Exchange Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Exchange Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Exchange Administrator,microsoft.backup/exchangeProtectionPolicies/allProperties/allTasks,"Create and manage Exchange Online protection policy in Microsoft 365 Backup"
Exchange Administrator,microsoft.backup/exchangeRestoreSessions/allProperties/allTasks,"Read and configure restore session for Exchange Online in Microsoft 365 Backup"
Exchange Administrator,microsoft.backup/restorePoints/userMailboxes/allProperties/allTasks,"Manage all restore points associated with selected Exchange Online mailboxes in M365 Backup"
Exchange Administrator,microsoft.backup/userMailboxProtectionUnits/allProperties/allTasks,"Manage mailboxes added to Exchange Online protection policy in Microsoft 365 Backup"
Exchange Administrator,microsoft.backup/userMailboxRestoreArtifacts/allProperties/allTasks,"Manage mailboxes added to restore session for Exchange Online in Microsoft 365 Backup"
Exchange Administrator,microsoft.directory/contacts/allProperties/read,"Read all properties for contacts"
Exchange Administrator,microsoft.directory/contacts/memberOf/read,"Read the group membership for all contacts in Microsoft Entra ID"
Exchange Administrator,microsoft.directory/contacts/standard/read,"Read basic properties on contacts in Microsoft Entra ID"
Exchange Administrator,microsoft.directory/groups.unified/assignedLabels/update,"Update the assigned labels property on Microsoft 365 groups of assigned membership type, excluding role-assignable groups"
Exchange Administrator,microsoft.directory/groups.unified/basic/update,"Update basic properties on Microsoft 365 groups, excluding role-assignable groups"
Exchange Administrator,microsoft.directory/groups.unified/create,"Create Microsoft 365 groups, excluding role-assignable groups"
Exchange Administrator,microsoft.directory/groups.unified/delete,"Delete Microsoft 365 groups, excluding role-assignable groups"
Exchange Administrator,microsoft.directory/groups.unified/members/update,"Update members of Microsoft 365 groups, excluding role-assignable groups"
Exchange Administrator,microsoft.directory/groups.unified/owners/update,"Update owners of Microsoft 365 groups, excluding role-assignable groups"
Exchange Administrator,microsoft.directory/groups.unified/restore,"Restore Microsoft 365 groups from soft-deleted container, excluding role-assignable groups"
Exchange Administrator,microsoft.directory/groups/hiddenMembers/read,"Read hidden members of Security groups and Microsoft 365 groups, including role-assignable groups"
Exchange Administrator,microsoft.directory/onPremisesSynchronization/standard/read,"Read standard on-premises directory synchronization information"
Exchange Administrator,microsoft.office365.exchange/allEntities/basic/allTasks,"Manage all aspects of Exchange Online"
Exchange Administrator,microsoft.office365.network/performance/allProperties/read,"Read all network performance properties in the Microsoft 365 admin center"
Exchange Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Exchange Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Exchange Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
Exchange Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Exchange Recipient Administrator,microsoft.office365.exchange/migration/allProperties/allTasks,"Manage all tasks related to migration of recipients in Exchange Online"
Exchange Recipient Administrator,microsoft.office365.exchange/recipients/allProperties/allTasks,"Create and delete all recipients, and read and update all properties of recipients in Exchange Online"
Extended Directory User Administrator,microsoft.directory/externalUserProfiles/basic/update,"Update basic properties of external user profiles in the extended directory for Teams"
Extended Directory User Administrator,microsoft.directory/externalUserProfiles/delete,"Delete external user profiles in the extended directory for Teams"
Extended Directory User Administrator,microsoft.directory/externalUserProfiles/standard/read,"Read standard properties of external user profiles in the extended directory for Teams"
Extended Directory User Administrator,microsoft.directory/pendingExternalUserProfiles/basic/update,"Update basic properties of external user profiles in the extended directory for Teams"
Extended Directory User Administrator,microsoft.directory/pendingExternalUserProfiles/create,"Create external user profiles in the extended directory for Teams"
Extended Directory User Administrator,microsoft.directory/pendingExternalUserProfiles/delete,"Delete external user profiles in the extended directory for Teams"
Extended Directory User Administrator,microsoft.directory/pendingExternalUserProfiles/standard/read,"Read standard properties of external user profiles in the extended directory for Teams"
External ID User Flow Administrator,microsoft.directory/b2cUserFlow/allProperties/allTasks,"Read and configure user flow in Azure Active Directory B2C"
External ID User Flow Attribute Administrator,microsoft.directory/b2cUserAttribute/allProperties/allTasks,"Read and configure user attribute in Azure Active Directory B2C"
External Identity Provider Administrator,microsoft.directory/domains/federation/update,"Update federation property of domains"
External Identity Provider Administrator,microsoft.directory/identityProviders/allProperties/allTasks,"Read and configure identity providers in Azure Active Directory B2C"
Fabric Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Fabric Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Fabric Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Fabric Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Fabric Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Fabric Administrator,microsoft.powerApps.powerBI/allEntities/allTasks,"Manage all aspects of Fabric and Power BI"
Global Administrator,microsoft.azure.advancedThreatProtection/allEntities/allTasks,"Manage all aspects of Azure Advanced Threat Protection"
Global Administrator,microsoft.azure.informationProtection/allEntities/allTasks,"Manage all aspects of Azure Information Protection"
Global Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Global Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Global Administrator,microsoft.backup/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft 365 Backup"
Global Administrator,microsoft.cloudPC/allEntities/allProperties/allTasks,"Manage all aspects of Windows 365"
Global Administrator,microsoft.commerce.billing/allEntities/allProperties/allTasks,"Manage all aspects of Office 365 billing"
Global Administrator,microsoft.commerce.billing/purchases/standard/read,"Read purchase services in Microsoft 365 admin center."
Global Administrator,microsoft.directory/accessReviews/allProperties/allTasks,"Create and delete access reviews, and read and update all properties of access reviews in Microsoft Entra ID"
Global Administrator,microsoft.directory/accessReviews/definitions/allProperties/allTasks,"Manage access reviews of all reviewable resources in Microsoft Entra ID"
Global Administrator,microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks,"Manage admin consent request policies in Microsoft Entra ID"
Global Administrator,microsoft.directory/administrativeUnits/allProperties/allTasks,"Create and manage administrative units (including members)"
Global Administrator,microsoft.directory/appConsent/appConsentRequests/allProperties/read,"Read all properties of consent requests for applications registered with Microsoft Entra ID"
Global Administrator,microsoft.directory/applications/allProperties/allTasks,"Create and delete applications, and read and update all properties"
Global Administrator,microsoft.directory/applications/synchronization/standard/read,"Read provisioning settings associated with the application object"
Global Administrator,microsoft.directory/applicationTemplates/instantiate,"Instantiate gallery applications from application templates"
Global Administrator,microsoft.directory/auditLogs/allProperties/read,"Read all properties on audit logs, excluding custom security attributes audit logs"
Global Administrator,microsoft.directory/authorizationPolicy/allProperties/allTasks,"Manage all aspects of authorization policy"
Global Administrator,microsoft.directory/bitlockerKeys/key/read,"Read bitlocker metadata and key on devices"
Global Administrator,microsoft.directory/bulkJobs/basic/update,"Update all the bulk jobs in a directory"
Global Administrator,microsoft.directory/bulkJobs/create,"Create all bulk jobs in a directory"
Global Administrator,microsoft.directory/cloudAppSecurity/allProperties/allTasks,"Create and delete all resources, and read and update standard properties in Microsoft Defender for Cloud Apps"
Global Administrator,microsoft.directory/conditionalAccessPolicies/allProperties/allTasks,"Manage all properties of Conditional Access policies"
Global Administrator,microsoft.directory/connectorGroups/allProperties/read,"Read all properties of application proxy connector groups"
Global Administrator,microsoft.directory/connectorGroups/allProperties/update,"Update all properties of application proxy connector groups"
Global Administrator,microsoft.directory/connectorGroups/create,"Create application proxy connector groups"
Global Administrator,microsoft.directory/connectorGroups/delete,"Delete application proxy connector groups"
Global Administrator,microsoft.directory/connectors/allProperties/read,"Read all properties of application proxy connectors"
Global Administrator,microsoft.directory/connectors/create,"Create application proxy connectors"
Global Administrator,microsoft.directory/contacts/allProperties/allTasks,"Create and delete contacts, and read and update all properties"
Global Administrator,microsoft.directory/contracts/allProperties/allTasks,"Create and delete partner contracts, and read and update all properties"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/allowedCloudEndpoints/update,"Update allowed cloud endpoints of cross-tenant access policy"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/basic/update,"Update basic settings of cross-tenant access policy"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/b2bCollaboration/update,"Update Microsoft Entra B2B collaboration settings of the default cross-tenant access policy"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update,"Update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/crossCloudMeetings/update,"Update cross-cloud Teams meeting settings of the default cross-tenant access policy"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/standard/read,"Read basic properties of the default cross-tenant access policy"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/tenantRestrictions/update,"Update tenant restrictions of the default cross-tenant access policy"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/b2bCollaboration/update,"Update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/b2bDirectConnect/update,"Update Microsoft Entra B2B direct connect settings of cross-tenant access policy for partners"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/create,"Create cross-tenant access policy for partners"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/crossCloudMeetings/update,"Update cross-cloud Teams meeting settings of cross-tenant access policy for partners"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/delete,"Delete cross-tenant access policy for partners"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/identitySynchronization/basic/update,"Update basic settings of cross-tenant sync policy"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/identitySynchronization/create,"Create cross-tenant sync policy for partners"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/identitySynchronization/standard/read,"Read basic properties of cross-tenant sync policy"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/standard/read,"Read basic properties of cross-tenant access policy for partners"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationIdentitySynchronization/basic/update,"Update cross tenant sync policy templates for multi-tenant organization"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationIdentitySynchronization/resetToDefaultSettings,"Reset cross tenant sync policy template for multi-tenant organization to default settings"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationIdentitySynchronization/standard/read,"Read basic properties of cross tenant sync policy templates for multi-tenant organization"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationPartnerConfiguration/basic/update,"Update cross tenant access policy templates for multi-tenant organization"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationPartnerConfiguration/resetToDefaultSettings,"Reset cross tenant access policy template for multi-tenant organization to default settings"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationPartnerConfiguration/standard/read,"Read basic properties of cross tenant access policy templates for multi-tenant organization"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/tenantRestrictions/update,"Update tenant restrictions of cross-tenant access policy for partners"
Global Administrator,microsoft.directory/crossTenantAccessPolicy/standard/read,"Read basic properties of cross-tenant access policy"
Global Administrator,microsoft.directory/customAuthenticationExtensions/allProperties/allTasks,"Create and manage custom authentication extensions"
Global Administrator,microsoft.directory/deletedItems/delete,"Permanently delete objects, which can no longer be restored"
Global Administrator,microsoft.directory/deletedItems/restore,"Restore soft deleted objects to original state"
Global Administrator,microsoft.directory/deviceLocalCredentials/password/read,"Read all properties of the backed up local administrator account credentials for Microsoft Entra joined devices, including the password"
Global Administrator,microsoft.directory/deviceManagementPolicies/basic/update,"Update basic properties on mobile device management and mobile app management policies"
Global Administrator,microsoft.directory/deviceManagementPolicies/standard/read,"Read standard properties on mobile device management and mobile app management policies"
Global Administrator,microsoft.directory/deviceRegistrationPolicy/basic/update,"Update basic properties on device registration policies"
Global Administrator,microsoft.directory/deviceRegistrationPolicy/standard/read,"Read standard properties on device registration policies"
Global Administrator,microsoft.directory/devices/allProperties/allTasks,"Create and delete devices, and read and update all properties"
Global Administrator,microsoft.directory/devices/permissions/update,"Update the alternative name property on an IoT device"
Global Administrator,microsoft.directory/deviceTemplates/owners/read,"Read owners on Internet of Things (IoT) device templates"
Global Administrator,microsoft.directory/deviceTemplates/owners/update,"Update owners on Internet of Things (IoT) device templates"
Global Administrator,microsoft.directory/directoryRoles/allProperties/allTasks,"Create and delete directory roles, and read and update all properties"
Global Administrator,microsoft.directory/directoryRoleTemplates/allProperties/allTasks,"Create and delete Microsoft Entra role templates, and read and update all properties"
Global Administrator,microsoft.directory/domains/allProperties/allTasks,"Create and delete domains, and read and update all properties"
Global Administrator,microsoft.directory/domains/federationConfiguration/basic/update,"Update basic federation configuration for domains"
Global Administrator,microsoft.directory/domains/federationConfiguration/create,"Create federation configuration for domains"
Global Administrator,microsoft.directory/domains/federationConfiguration/delete,"Delete federation configuration for domains"
Global Administrator,microsoft.directory/domains/federationConfiguration/standard/read,"Read standard properties of federation configuration for domains"
Global Administrator,microsoft.directory/entitlementManagement/allProperties/allTasks,"Create and delete resources, and read and update all properties in Microsoft Entra entitlement management"
Global Administrator,microsoft.directory/externalUserProfiles/basic/update,"Update basic properties of external user profiles in the extended directory for Teams"
Global Administrator,microsoft.directory/externalUserProfiles/delete,"Delete external user profiles in the extended directory for Teams"
Global Administrator,microsoft.directory/externalUserProfiles/standard/read,"Read standard properties of external user profiles in the extended directory for Teams"
Global Administrator,microsoft.directory/groups/allProperties/allTasks,"Create and delete groups, and read and update all properties"
Global Administrator,microsoft.directory/groupsAssignableToRoles/allProperties/update,"Update role-assignable groups"
Global Administrator,microsoft.directory/groupsAssignableToRoles/assignLicense,"Assign a license to role-assignable groups"
Global Administrator,microsoft.directory/groupsAssignableToRoles/create,"Create role-assignable groups"
Global Administrator,microsoft.directory/groupsAssignableToRoles/delete,"Delete role-assignable groups"
Global Administrator,microsoft.directory/groupsAssignableToRoles/reprocessLicenseAssignment,"Reprocess license assignments to role-assignable groups"
Global Administrator,microsoft.directory/groupsAssignableToRoles/restore,"Restore role-assignable groups"
Global Administrator,microsoft.directory/groupSettings/allProperties/allTasks,"Create and delete group settings, and read and update all properties"
Global Administrator,microsoft.directory/groupSettingTemplates/allProperties/allTasks,"Create and delete group setting templates, and read and update all properties"
Global Administrator,microsoft.directory/hybridAuthenticationPolicy/allProperties/allTasks,"Manage hybrid authentication policy in Microsoft Entra ID"
Global Administrator,microsoft.directory/identityProtection/allProperties/allTasks,"Create and delete all resources, and read and update standard properties in Microsoft Entra ID Protection"
Global Administrator,microsoft.directory/lifecycleWorkflows/workflows/allProperties/allTasks,"Manage all aspects of lifecycle workflows and tasks in Microsoft Entra ID"
Global Administrator,microsoft.directory/loginOrganizationBranding/allProperties/allTasks,"Create and delete loginTenantBranding, and read and update all properties"
Global Administrator,microsoft.directory/multiTenantOrganization/basic/update,"Update basic properties of a multi-tenant organization"
Global Administrator,microsoft.directory/multiTenantOrganization/create,"Create a multi-tenant organization"
Global Administrator,microsoft.directory/multiTenantOrganization/joinRequest/organizationDetails/update,"Join a multi-tenant organization"
Global Administrator,microsoft.directory/multiTenantOrganization/joinRequest/standard/read,"Read properties of a multi-tenant organization join request"
Global Administrator,microsoft.directory/multiTenantOrganization/standard/read,"Read basic properties of a multi-tenant organization"
Global Administrator,microsoft.directory/multiTenantOrganization/tenants/create,"Create a tenant in a multi-tenant organization"
Global Administrator,microsoft.directory/multiTenantOrganization/tenants/delete,"Delete a tenant participating in a multi-tenant organization"
Global Administrator,microsoft.directory/multiTenantOrganization/tenants/organizationDetails/read,"Read organization details of a tenant participating in a multi-tenant organization"
Global Administrator,microsoft.directory/multiTenantOrganization/tenants/organizationDetails/update,"Update basic properties of a tenant participating in a multi-tenant organization"
Global Administrator,microsoft.directory/multiTenantOrganization/tenants/standard/read,"Read basic properties of a tenant participating in a multi-tenant organization"
Global Administrator,microsoft.directory/namedLocations/basic/update,"Update basic properties of custom rules that define network locations"
Global Administrator,microsoft.directory/namedLocations/create,"Create custom rules that define network locations"
Global Administrator,microsoft.directory/namedLocations/delete,"Delete custom rules that define network locations"
Global Administrator,microsoft.directory/namedLocations/standard/read,"Read basic properties of custom rules that define network locations"
Global Administrator,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks,"Create and delete OAuth 2.0 permission grants, and read and update all properties"
Global Administrator,microsoft.directory/onPremisesSynchronization/basic/update,"Update basic on-premises directory synchronization information"
Global Administrator,microsoft.directory/onPremisesSynchronization/standard/read,"Read standard on-premises directory synchronization information"
Global Administrator,microsoft.directory/organization/allProperties/allTasks,"Read and update all properties for an organization"
Global Administrator,microsoft.directory/passwordHashSync/allProperties/allTasks,"Manage all aspects of Password Hash Synchronization (PHS) in Microsoft Entra ID"
Global Administrator,microsoft.directory/pendingExternalUserProfiles/basic/update,"Update basic properties of external user profiles in the extended directory for Teams"
Global Administrator,microsoft.directory/pendingExternalUserProfiles/create,"Create external user profiles in the extended directory for Teams"
Global Administrator,microsoft.directory/pendingExternalUserProfiles/delete,"Delete external user profiles in the extended directory for Teams"
Global Administrator,microsoft.directory/pendingExternalUserProfiles/standard/read,"Read standard properties of external user profiles in the extended directory for Teams"
Global Administrator,microsoft.directory/permissionGrantPolicies/basic/update,"Update basic properties of permission grant policies"
Global Administrator,microsoft.directory/permissionGrantPolicies/create,"Create permission grant policies"
Global Administrator,microsoft.directory/permissionGrantPolicies/delete,"Delete permission grant policies"
Global Administrator,microsoft.directory/permissionGrantPolicies/standard/read,"Read standard properties of permission grant policies"
Global Administrator,microsoft.directory/policies/allProperties/allTasks,"Create and delete policies, and read and update all properties"
Global Administrator,microsoft.directory/privilegedIdentityManagement/allProperties/read,"Read all resources in Privileged Identity Management"
Global Administrator,microsoft.directory/provisioningLogs/allProperties/read,"Read all properties of provisioning logs"
Global Administrator,microsoft.directory/resourceNamespaces/resourceActions/authenticationContext/update,"Update Conditional Access authentication context of Microsoft 365 role-based access control (RBAC) resource actions"
Global Administrator,microsoft.directory/roleAssignments/allProperties/allTasks,"Create and delete role assignments, and read and update all role assignment properties"
Global Administrator,microsoft.directory/roleDefinitions/allProperties/allTasks,"Create and delete role definitions, and read and update all properties"
Global Administrator,microsoft.directory/scopedRoleMemberships/allProperties/allTasks,"Create and delete scopedRoleMemberships, and read and update all properties"
Global Administrator,microsoft.directory/serviceAction/activateService,"Can perform the ""activate service"" action for a service"
Global Administrator,microsoft.directory/serviceAction/disableDirectoryFeature,"Can perform the ""disable directory feature"" service action"
Global Administrator,microsoft.directory/serviceAction/enableDirectoryFeature,"Can perform the ""enable directory feature"" service action"
Global Administrator,microsoft.directory/serviceAction/getAvailableExtentionProperties,"Can perform the getAvailableExtentionProperties service action"
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/basic/update,"Update basic properties of service principal creation policies"
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/create,"Create service principal creation policies"
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/delete,"Delete service principal creation policies"
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/standard/read,"Read standard properties of service principal creation policies"
Global Administrator,microsoft.directory/servicePrincipals/allProperties/allTasks,"Create and delete service principals, and read and update all properties"
Global Administrator,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-company-admin,"Grant consent for any permission to any application"
Global Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/credentials/manage,"Manage cloud tenant to cloud tenant application provisioning secrets and credentials."
Global Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/jobs/manage,"Start, restart, and pause cloud tenant to cloud tenant application provisioning synchronization jobs."
Global Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/schema/manage,"Create and manage cloud tenant to cloud tenant application provisioning synchronization jobs and schema."
Global Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage,"Manage application provisioning secrets and credentials."
Global Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/jobs/manage,"Start, restart, and pause application provisioning synchronization jobs."
Global Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/schema/manage,"Create and manage application provisioning synchronization jobs and schema."
Global Administrator,microsoft.directory/servicePrincipals/synchronization/standard/read,"Read provisioning settings associated with your service principal"
Global Administrator,microsoft.directory/signInReports/allProperties/read,"Read all properties on sign-in reports, including privileged properties"
Global Administrator,microsoft.directory/subscribedSkus/allProperties/allTasks,"Buy and manage subscriptions and delete subscriptions"
